ID     Step     MaxR |    avgR     stdR | avgS stdS |    objC     etc.
Act FileNotFound when load_model: output/2022-04-25_22-58-15
Critic FileNotFound when load_model: output/2022-04-25_22-58-15
pygame 2.0.1 (SDL 2.0.14, Python 3.6.2)
Hello from the pygame community. https://www.pygame.org/contribute.html
 O  1.09e+06    10.40 |    0.00     0.00 |  127    0 |    0.06    -0.03    -0.05     0.16
 O  1.10e+06    10.40 |    0.00     0.00 |  127    0 |    0.05     0.08    -0.02     0.06
 O  1.11e+06    10.40 |    0.00     0.00 |  127    0 |    0.00     0.03    -0.00     0.00
 O  1.12e+06    10.40 |    0.10     0.44 |  127    0 |    0.00     0.09    -0.06     0.00
 O  1.13e+06    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.05    -0.02     0.00
 O  1.15e+06    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.02    -0.00     0.00
 O  1.16e+06    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.05    -0.02     0.00
 O  1.17e+06    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.07    -0.07     0.00
 O  1.18e+06    10.40 |    0.00     0.00 |  127    0 |    0.00     0.01    -0.00     0.00
 O  1.20e+06    10.40 |   10.33    55.65 |  126    5 |    0.00     0.10    -0.02     0.00
 O  1.21e+06    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.06    -0.01     0.00
 O  1.22e+06    10.40 |    0.05     0.22 |  127    0 |    0.00    -0.06    -0.04     0.00
 O  1.23e+06    10.40 |    0.00     0.00 |  127    0 |    0.05     0.09    -0.01     0.06
 O  1.25e+06    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.00    -0.06     0.00
 O  1.26e+06    10.40 |    0.25     1.09 |  127    0 |    0.00    -0.03    -0.06     0.00
 O  1.27e+06    10.40 |    0.00     0.00 |  127    0 |    0.00     0.05    -0.02     0.00
 O  1.28e+06    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.04    -0.05     0.00
 O  1.29e+06    10.40 |    0.00     0.00 |  127    0 |    0.00     0.05    -0.07     0.00
 O  1.31e+06    10.40 |    0.00     0.00 |  127    0 |    0.10    -0.01    -0.05     9.39
 O  1.32e+06    10.40 |    0.00     0.00 |  127    0 |    0.00     0.05    -0.01     0.00
 O  1.33e+06    10.40 |    0.00     0.00 |  127    0 |    0.00     0.09    -0.05     0.00
 O  1.34e+06    10.40 |    0.00     0.00 |  127    0 |    0.00     0.01    -0.06     0.00
 O  1.36e+06    10.40 |    0.00     0.00 |  127    0 |    0.00     0.02    -0.00     0.00
 O  1.37e+06    10.40 |    0.00     0.00 |  127    0 |    0.04     0.06    -0.03     0.06
 O  1.38e+06    10.40 |    0.25     1.09 |  127    0 |    0.00    -0.02    -0.03     0.00
 O  1.39e+06    10.40 |    0.00     0.00 |  127    0 |    0.02    -0.02    -0.02     0.06
 O  1.40e+06    10.40 |    0.00     0.00 |  127    0 |    0.16     0.05    -0.03     9.75
 O  1.42e+06    10.40 |    0.00     0.00 |  127    0 |    0.00     0.02    -0.00     0.00
 O  1.43e+06    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.11    -0.01     0.00
 O  1.44e+06    10.40 |    0.25     1.09 |  127    0 |    0.00    -0.04    -0.01     0.00
 O  1.45e+06    10.40 |    0.00     0.00 |  127    0 |    0.04     0.05    -0.04     0.06
 O  1.47e+06    10.40 |    0.00     0.00 |  127    0 |    0.04     0.09    -0.05     0.00
 O  1.48e+06    10.40 |    0.00     0.00 |  127    0 |    0.00     0.10    -0.05     0.00
 O  1.49e+06    10.40 |    0.10     0.44 |  127    0 |    0.09     0.03    -0.06     0.16
 O  1.50e+06    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.08    -0.07     0.00
 O  1.52e+06    10.40 |    0.10     0.44 |  127    0 |    0.05     0.04    -0.03     0.16
 O  1.53e+06    10.40 |    0.00     0.00 |  127    0 |    0.00     0.03    -0.07     0.00
 O  1.54e+06    10.40 |   10.33    55.65 |  126    6 |    0.11     0.04    -0.14     9.78
O  1.55e+06    10.50 |
 O  1.55e+06    10.50 |   10.50    55.62 |  126    4 |    0.05     0.10    -0.13     0.06
O  1.56e+06    20.67 |
 O  1.56e+06    20.67 |   20.67    77.33 |  126    5 |    0.11    -0.04    -0.07     0.28
 O  1.58e+06    20.67 |    0.00     0.00 |  126    3 |    0.12    -0.01    -0.14     0.31
 O  1.59e+06    20.67 |    0.00     0.00 |  127    0 |    0.00     0.00    -0.13     0.00
 O  1.60e+06    20.67 |   15.60    66.86 |  126    5 |    0.00     0.02    -0.15     0.00
 O  1.61e+06    20.67 |    0.25     1.09 |  127    0 |    0.00     0.06    -0.16     0.00
 O  1.63e+06    20.67 |    0.00     0.00 |  127    0 |    0.02    -0.02    -0.12     0.00
 O  1.64e+06    20.67 |    0.00     0.00 |  127    0 |    0.02     0.02    -0.08     0.03
 O  1.65e+06    20.67 |    0.00     0.00 |  127    0 |    0.03     0.02    -0.08     0.06
 O  1.66e+06    20.67 |   15.35    66.91 |  124    9 |    0.00     0.01    -0.07     0.00
 O  1.68e+06    20.67 |   15.70    67.52 |  126    5 |    0.00    -0.10    -0.03     0.00
 O  1.69e+06    20.67 |    0.00     0.00 |  127    0 |    0.00     0.01    -0.02     0.00
 O  1.70e+06    20.67 |    0.00     0.00 |  127    0 |    0.12    -0.02    -0.04     0.16
 O  1.71e+06    20.67 |    0.00     0.00 |  127    0 |    0.10     0.02    -0.04     0.22
 O  1.72e+06    20.67 |    0.00     0.00 |  127    0 |    0.10     0.05    -0.02     0.16
 O  1.74e+06    20.67 |   15.50    67.56 |  126    6 |    0.00     0.03    -0.03     0.00
 O  1.75e+06    20.67 |    0.00     0.00 |  127    0 |    0.00    -0.05    -0.01     0.00
 O  1.76e+06    20.67 |    0.00     0.00 |  127    0 |    0.00    -0.11    -0.05     0.00
 O  1.77e+06    20.67 |    0.00     0.00 |  127    0 |    0.05    -0.01    -0.03     0.12
 O  1.79e+06    20.67 |    0.25     1.09 |  127    0 |    0.00    -0.00    -0.03     0.00
 O  1.80e+06    20.67 |    0.00     0.00 |  127    0 |    0.00     0.12    -0.01     0.00
 O  1.81e+06    20.67 |    0.00     0.00 |  127    0 |    0.07     0.07    -0.02     0.12
 O  1.82e+06    20.67 |    0.00     0.00 |  127    0 |    0.00    -0.07    -0.01     0.00
 O  1.84e+06    20.67 |    0.00     0.00 |  127    0 |    0.11    -0.01    -0.04     0.22
 O  1.85e+06    20.67 |    0.00     0.00 |  127    0 |    0.07     0.02    -0.05     0.12
 O  1.86e+06    20.67 |    0.00     0.00 |  127    0 |    0.04     0.05    -0.07     0.06
 O  1.87e+06    20.67 |    0.00     0.00 |  127    0 |    0.00     0.08    -0.05     0.00
 O  1.88e+06    20.67 |    0.00     0.00 |  127    0 |    0.13    -0.01    -0.01     9.69
 O  1.90e+06    20.67 |    0.00     0.00 |  127    0 |    0.00    -0.04    -0.00     0.00
 O  1.91e+06    20.67 |   15.60    67.54 |  125    9 |    0.04     0.09    -0.02     0.16
 O  1.92e+06    20.67 |    0.00     0.00 |  127    0 |    0.00     0.05    -0.05     0.00
 O  1.93e+06    20.67 |    0.00     0.00 |  127    0 |    0.02     0.03    -0.01     0.06
 O  1.95e+06    20.67 |    0.00     0.00 |  127    0 |    0.00    -0.03    -0.04     0.00
 O  1.96e+06    20.67 |    0.00     0.00 |  127    0 |    0.00     0.01    -0.04     0.00
 O  1.97e+06    20.67 |    0.00     0.00 |  127    0 |    0.02     0.05    -0.05     0.06
 O  1.98e+06    20.67 |   15.35    66.91 |  124   15 |    0.03    -0.07    -0.02     0.00
 O  1.99e+06    20.67 |    0.10     0.44 |  127    0 |    0.01     0.03    -0.02     0.00
 O  2.01e+06    20.67 |    0.00     0.00 |  127    0 |    0.00     0.04    -0.05     0.00
 O  2.02e+06    20.67 |    0.00     0.00 |  127    0 |    0.00    -0.07    -0.01     0.00
 O  2.03e+06    20.67 |    0.00     0.00 |  127    0 |    0.00    -0.04    -0.04     0.00
 O  2.04e+06    20.67 |   15.75    67.51 |  127    1 |    0.14     0.03    -0.04     9.91
 O  2.06e+06    20.67 |    0.25     1.09 |  127    0 |    0.15    -0.15    -0.03     0.31
 O  2.07e+06    20.67 |    0.00     0.00 |  127    0 |    0.11    -0.09    -0.10     0.47
 O  2.08e+06    20.67 |   15.50    67.56 |  127    1 |    0.10     0.02    -0.07     0.47
 O  2.09e+06    20.67 |    0.00     0.00 |  124   14 |    0.10    -0.14    -0.02     9.45
 O  2.11e+06    20.67 |    0.00     0.00 |  127    0 |    0.19    -0.07    -0.02     9.78
 O  2.12e+06    20.67 |    0.00     0.00 |  127    0 |    0.12    -0.01    -0.02     9.39
 O  2.13e+06    20.67 |    0.25     1.09 |  127    0 |    0.15    -0.04    -0.02     0.38
 O  2.14e+06    20.67 |    0.00     0.00 |  126    6 |    0.06     0.10    -0.02     0.16
 O  2.15e+06    20.67 |   15.40    66.67 |  126    3 |    0.18     0.09    -0.03     9.59
 O  2.17e+06    20.67 |    0.00     0.00 |  127    0 |    0.13    -0.03    -0.07     9.73
 O  2.18e+06    20.67 |    0.25     1.09 |  127    0 |    0.03    -0.16    -0.01     0.06
 O  2.19e+06    20.67 |    0.25     1.09 |  127    0 |    0.00    -0.07    -0.01     0.00
 O  2.20e+06    20.67 |    0.00     0.00 |  127    0 |    0.00    -0.00    -0.01     0.00
 O  2.22e+06    20.67 |    0.25     1.09 |  127    0 |    0.01    -0.01    -0.01     0.00
O  2.23e+06    30.93 |
 O  2.23e+06    30.93 |   30.93    92.69 |  124   10 |    0.13     0.07    -0.01     9.69
 O  2.24e+06    30.93 |    0.00     0.00 |  127    0 |    0.02     0.04    -0.01     0.06
 O  2.25e+06    30.93 |    0.25     1.09 |  127    0 |    0.16     0.09    -0.03     9.69
 O  2.27e+06    30.93 |   15.55    66.87 |  125    7 |    0.03     0.02    -0.04     0.06
 O  2.28e+06    30.93 |    0.00     0.00 |  127    0 |    0.06    -0.02    -0.04     0.16
 O  2.29e+06    30.93 |    0.25     1.09 |  127    0 |    0.13     0.05    -0.03     9.52
 O  2.30e+06    30.93 |    0.00     0.00 |  125    9 |    0.18     0.01    -0.02     0.59
 O  2.31e+06    30.93 |    0.45     1.20 |  127    0 |    0.00     0.01    -0.01     0.00
 O  2.33e+06    30.93 |    0.00     0.00 |  127    0 |    0.09    -0.05    -0.03     0.31
 O  2.34e+06    30.93 |    0.75     1.79 |  125    8 |    0.02    -0.04    -0.01     0.12
 O  2.35e+06    30.93 |   15.95    67.47 |  126    5 |    0.07    -0.03    -0.06     0.16
 O  2.36e+06    30.93 |   21.07    76.83 |  123   15 |    0.03     0.07    -0.03     0.09
 O  2.38e+06    30.93 |    0.05     0.22 |  127    0 |    0.15    -0.04    -0.09    10.06
 O  2.39e+06    30.93 |    0.85     1.80 |  127    0 |    0.12     0.03    -0.04     0.44
 O  2.40e+06    30.93 |    0.00     0.00 |  127    0 |    0.10    -0.01    -0.05     0.41
 O  2.41e+06    30.93 |   16.10    67.44 |  126    2 |    0.15     0.05    -0.05    10.03
 O  2.42e+06    30.93 |    0.20     0.60 |  127    0 |    0.06     0.01    -0.04     0.19
 O  2.44e+06    30.93 |    0.10     0.44 |  127    0 |    0.11    -0.01    -0.02    10.00
 O  2.45e+06    30.93 |    0.20     0.87 |  127    0 |    0.12    -0.01    -0.04     0.31
 O  2.46e+06    30.93 |    0.35     1.15 |  127    0 |    0.16     0.00    -0.07     9.30
 O  2.47e+06    30.93 |   15.35    66.91 |  127    1 |    0.14    -0.01    -0.03     0.59
 O  2.49e+06    30.93 |    0.70     1.55 |  127    0 |    0.08     0.00    -0.02     0.16
 O  2.50e+06    30.93 |   15.85    67.49 |  124   12 |    0.16    -0.04    -0.02     0.66
 O  2.51e+06    30.93 |    0.10     0.44 |  127    0 |    0.12     0.05    -0.02     9.55
 O  2.52e+06    30.93 |    0.00     0.00 |  126    3 |    0.15     0.04    -0.02     9.75
 O  2.54e+06    30.93 |    0.25     1.09 |  127    0 |    0.10     0.07    -0.04     0.53
 O  2.55e+06    30.93 |   15.40    66.90 |  126    6 |    0.07    -0.08    -0.06     9.81
 O  2.56e+06    30.93 |    0.20     0.60 |  127    0 |    0.17     0.05    -0.05    10.28
 O  2.57e+06    30.93 |    0.10     0.44 |  127    0 |    0.12    -0.01    -0.05     0.81
 O  2.58e+06    30.93 |    0.35     1.15 |  127    0 |    0.16    -0.08    -0.08     0.84
 O  2.60e+06    30.93 |    0.85     1.80 |  127    0 |    0.16    -0.05    -0.05     0.66
 O  2.61e+06    30.93 |   15.85    67.49 |  124   11 |    0.18     0.02    -0.06    19.91
 O  2.62e+06    30.93 |    0.70     1.42 |  127    0 |    0.04     0.02    -0.03     0.09
 O  2.63e+06    30.93 |    0.30     0.95 |  127    0 |    0.09    -0.02    -0.14     0.50
 O  2.65e+06    30.93 |    0.45     1.20 |  127    0 |    0.15     0.02    -0.09    18.91
 O  2.66e+06    30.93 |   15.75    66.60 |  126    6 |    0.14    -0.14    -0.14     9.58
 O  2.67e+06    30.93 |    0.10     0.44 |  127    0 |    0.11    -0.06    -0.07     0.34
 O  2.68e+06    30.93 |   15.75    67.51 |  124    9 |    0.21    -0.11    -0.07    19.81
 O  2.70e+06    30.93 |    1.10     2.00 |  127    0 |    0.08    -0.03    -0.06     0.22
 O  2.71e+06    30.93 |   15.70    67.52 |  127    1 |    0.10     0.03    -0.08     9.61
 O  2.72e+06    30.93 |    0.35     1.15 |  127    0 |    0.11    -0.08    -0.02     0.31
 O  2.73e+06    30.93 |    0.10     0.44 |  127    0 |    0.10    -0.05    -0.10     0.38
 O  2.74e+06    30.93 |   30.70    91.77 |  124   13 |    0.12    -0.10    -0.11     9.70
 O  2.76e+06    30.93 |    0.10     0.44 |  127    0 |    0.11     0.09    -0.04     0.53
 O  2.77e+06    30.93 |   16.40    67.38 |  126    5 |    0.11    -0.05    -0.05     0.47
 O  2.78e+06    30.93 |   15.80    66.81 |  127    2 |    0.14    -0.00    -0.06     0.72
 O  2.79e+06    30.93 |   16.20    66.74 |  126    3 |    0.12    -0.01    -0.05    10.00
 O  2.81e+06    30.93 |   15.70    66.84 |  126    3 |    0.11     0.02    -0.04     9.97
 O  2.82e+06    30.93 |    0.00     0.00 |  127    0 |    0.15    -0.10    -0.09    19.47
 O  2.83e+06    30.93 |   15.90    67.48 |  127    1 |    0.09     0.04    -0.03     9.70
 O  2.84e+06    30.93 |    0.30     0.71 |  127    0 |    0.09    -0.03    -0.04     9.78
 O  2.85e+06    30.93 |    1.20     2.09 |  127    0 |    0.18    -0.05    -0.04     0.97
 O  2.87e+06    30.93 |    1.15     1.90 |  127    0 |    0.09     0.02    -0.04     0.44
 O  2.88e+06    30.93 |    0.50     1.24 |  127    0 |    0.04     0.02    -0.03     0.28
 O  2.89e+06    30.93 |    0.35     1.15 |  127    0 |    0.15    -0.11    -0.08     9.67
 O  2.90e+06    30.93 |   15.30    66.69 |  126    2 |    0.10     0.04    -0.06    10.12
 O  2.92e+06    30.93 |   21.17    76.68 |  124   10 |    0.16    -0.04    -0.04    10.00
 O  2.93e+06    30.93 |    0.50     1.50 |  127    0 |    0.14     0.05    -0.04     9.67
 O  2.94e+06    30.93 |    0.00     0.00 |  127    0 |    0.26    -0.06    -0.02    29.06
 O  2.95e+06    30.93 |    0.60     1.53 |  126    2 |    0.09     0.01    -0.01     0.28
 O  2.97e+06    30.93 |   15.85    67.49 |  126    4 |    0.14     0.02    -0.02     9.67
 O  2.98e+06    30.93 |    0.85     1.80 |  127    0 |    0.05     0.03    -0.04     0.12
 O  2.99e+06    30.93 |    0.00     0.00 |  127    0 |    0.09    -0.12    -0.03    10.31
 O  3.00e+06    30.93 |   15.35    66.91 |  125    7 |    0.21    -0.03    -0.04    19.12
 O  3.01e+06    30.93 |    0.35     1.15 |  127    0 |    0.15     0.07    -0.03     9.78
 O  3.03e+06    30.93 |    0.40     1.16 |  127    0 |    0.18     0.06    -0.05    10.25
 O  3.04e+06    30.93 |    0.00     0.00 |  127    0 |    0.05    -0.03    -0.04     0.12
 O  3.05e+06    30.93 |    0.35     1.15 |  127    0 |    0.12     0.03    -0.06     0.53
 O  3.06e+06    30.93 |   15.85    67.49 |  126    6 |    0.15     0.03    -0.01    10.19
 O  3.08e+06    30.93 |    0.50     1.50 |  127    0 |    0.13     0.02    -0.02    10.00
 O  3.09e+06    30.93 |    1.00     2.00 |  127    0 |    0.10     0.06    -0.03     0.34
 O  3.10e+06    30.93 |    0.00     0.00 |  127    0 |    0.21     0.01    -0.05    28.24
 O  3.11e+06    30.93 |    0.70     1.68 |  127    0 |    0.12     0.06    -0.07    10.16
 O  3.13e+06    30.93 |   15.95    67.47 |  127    0 |    0.10     0.02    -0.03    10.16
 O  3.14e+06    30.93 |    0.35     1.15 |  127    0 |    0.13    -0.09    -0.06    10.28
 O  3.15e+06    30.93 |   15.85    66.81 |  125    9 |    0.16     0.04    -0.06     9.88
 O  3.16e+06    30.93 |   15.75    67.51 |  126    4 |    0.08    -0.12    -0.05     0.22
 O  3.17e+06    30.93 |   15.85    66.81 |  124   10 |    0.17    -0.08    -0.05     9.73
 O  3.19e+06    30.93 |    0.25     1.09 |  127    0 |    0.03    -0.09    -0.04     0.19
 O  3.20e+06    30.93 |    0.25     1.09 |  125    9 |    0.09     0.09    -0.07     0.22
 O  3.21e+06    30.93 |    0.30     0.95 |  127    0 |    0.19     0.00    -0.04    19.27
 O  3.22e+06    30.93 |   15.50    66.88 |  123   13 |    0.03    -0.06    -0.08     0.06
 O  3.24e+06    30.93 |    0.45     1.20 |  127    0 |    0.12    -0.04    -0.06     0.50
O  3.25e+06    41.70 |
 O  3.25e+06    41.70 |   41.70   104.66 |  123   11 |    0.11    -0.04    -0.06     0.50
 O  3.26e+06    41.70 |    0.25     1.09 |  127    0 |    0.19     0.10    -0.04    20.16
 O  3.27e+06    41.70 |    0.00     0.00 |  127    0 |    0.06     0.06    -0.06     9.75
 O  3.28e+06    41.70 |    0.00     0.00 |  127    0 |    0.13     0.13    -0.07     0.62
 O  3.30e+06    41.70 |   15.90    66.57 |  125    7 |    0.16    -0.09    -0.03     0.64
 O  3.31e+06    41.70 |    0.00     0.00 |  126    2 |    0.19    -0.08    -0.09    10.22
 O  3.32e+06    41.70 |    0.00     0.00 |  127    0 |    0.13    -0.03    -0.15     0.44
